SiteID,County,City,DBA,Licensee,PremisesStreet,PremisesCityState,LicenseNumber,LicenseType,Status,IssueDate,EffectiveDate,ExpiryDate
,Fayette,Lexington,2022 Camp Out,"HORSIN' AROUND  CAMP, INC. ",1540 University Dr,"Lexington, KY 40506",034-TA-192962,Special Temporary Alcoholic Beverage Auction License,Active,9/26/22,10/1/22,10/20/22
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC ,167 W Main St,"Lexington, KY 40507",034-NQ2-2920,NQ2 Retail Drink License,Active,1/29/16,1/29/16,11/30/22
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC ,167 W Main St,"Lexington, KY 40507",034-SP-1576,Sampling License,Active,1/29/16,1/29/16,11/30/22
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC ,167 W Main St,"Lexington, KY 40507",034-HI-29,Hotel In-Room License,Active,1/29/16,1/29/16,11/30/22
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC ,167 W Main St,"Lexington, KY 40507",034-SB-1582,Supplemental Bar License,Active,1/29/16,1/29/16,11/30/22
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC ,167 W Main St,"Lexington, KY 40507",034-CL-422,Caterer's License,Active,2/24/16,2/24/16,11/30/22
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC ,167 W Main St,"Lexington, KY 40507",034-RS-4300,Special Sunday Retail Drink License,Active,1/29/16,1/29/16,11/30/22
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC ,167 W Main St,"Lexington, KY 40507",034-LP-2223,Quota Retail Package License,Active,4/29/16,4/29/16,11/30/22
26561,Fayette,Lexington,A Cup of Common Wealth,A Cup of Common Wealth LLC ,105 Eastern Ave,"Lexington, KY 40508",034-NQ4-191200,NQ4 Retail Malt Beverage Drink License,Active,6/28/22,6/28/22,11/30/22
5119,Fayette,Lexington,A P Suggins Bar And Grill,"ROMANY RESTAURANTS, INC. ",345 Romany Rd,"Lexington, KY 40502",034-RS-2332,Special Sunday Retail Drink License,Active,5/13/13,6/25/13,8/31/23
5119,Fayette,Lexington,A P Suggins Bar And Grill,"ROMANY RESTAURANTS, INC. ",345 Romany Rd,"Lexington, KY 40502",034-NQ2-1002,NQ2 Retail Drink License,Active,5/13/13,6/25/13,8/31/23
28033,Fayette,Lexington,Agave & Rye Epic Tacos,Agave & Rye Lexington LLC ,3535 Nicholasville Rd,"Lexington, KY 40503",034-NQ2-3989,NQ2 Retail Drink License,Active,6/17/19,6/17/19,11/30/22
28033,Fayette,Lexington,Agave & Rye Epic Tacos,Agave & Rye Lexington LLC ,3535 Nicholasville Rd,"Lexington, KY 40503",034-RS-5713,Special Sunday Retail Drink License,Active,6/17/19,6/17/19,11/30/22
19206,Fayette,Lexington,Agave and Rye,A&R Lexington Square LLC ,123 N Broadway,"Lexington, KY 40507",034-NQ2-182985,NQ2 Retail Drink License,Active,5/11/21,5/11/21,11/30/22
19206,Fayette,Lexington,Agave and Rye,A&R Lexington Square LLC ,123 N Broadway,"Lexington, KY 40507",034-RS-182986,Special Sunday Retail Drink License,Active,5/11/21,5/11/21,11/30/22
4347,Fayette,Lexington,Al's Bar,"Road Soda, LLC ",601 N Limestone,"Lexington, KY 40508",034-NQ4-4537,NQ4 Retail Malt Beverage Drink License,Active,8/19/19,8/19/19,11/30/22
4347,Fayette,Lexington,Al's Bar,"Road Soda, LLC ",601 N Limestone,"Lexington, KY 40508",034-NQ-7551,NQ Retail Malt Beverage Package License,Active,8/19/19,8/19/19,11/30/22
4347,Fayette,Lexington,Al's Bar,"Road Soda, LLC ",601 N Limestone,"Lexington, KY 40508",034-RS-5728,Special Sunday Retail Drink License,Active,8/19/19,8/19/19,11/30/22
4347,Fayette,Lexington,Al's Bar,"Road Soda, LLC ",601 N Limestone,"Lexington, KY 40508",034-LD-945,Quota Retail Drink License,Active,8/19/19,8/19/19,11/30/22
19358,Fayette,Lexington,ALDI,ALDI (INDIANA) L.P. ,126 Rojay Dr,"Lexington, KY 40503",034-NQ-4087,NQ Retail Malt Beverage Package License,Active,7/18/14,7/18/14,8/31/23
19363,Fayette,Lexington,ALDI,ALDI (INDIANA) L.P. ,1509 Colesbury Cir,"Lexington, KY 40511",034-NQ-4088,NQ Retail Malt Beverage Package License,Active,7/18/14,7/18/14,8/31/23
33409,Fayette,Lexington,ALENKO'S EXPRESS ,"ALENKO'S EXPRESS, LLC ",1613 Cornelius Trce,"Lexington, KY 40509",034-TPL-186469,Transporter's License,Active,10/1/21,10/1/21,12/31/22
233,Fayette,Lexington,Alexandria Marathon,"Lex Holdings, LLC ",1768 Alexandria Dr,"Lexington, KY 40505",034-NQ-5246,NQ Retail Malt Beverage Package License,Active,3/9/16,3/9/16,11/30/22
3578,Fayette,Lexington,Allens Food Mart,AH ENTERPRISES LLC ,1918 Oxford Cir,"Lexington, KY 40504",034-NQ-5916,NQ Retail Malt Beverage Package License,Active,12/27/16,12/27/16,11/30/22
