Company Name,DIVYIELD,EPS
Delphi                            ,3.62,0.61
Liz Claiborne                     ,0.8,2.16
Snap-On                           ,4,1.76
Darden Restaurants                ,0.45,1.37
Tribune                           ,0.98,1.8
Interpublic Group                 ,3.94,0.77
TJX                               ,0.75,1.08
Dollar General                    ,1.23,0.76
Circuit City Stores               ,1.58,0.57
Winn-Dixie Stores                 ,1.64,1.65
Kellogg                           ,3.42,1.75
Campbell Soup                     ,3.04,1.39
Exxon Mobil                       ,2.7,1.61
EOG Resources                     ,0.39,0.65
Washington Mutual                 ,3.36,4.05
North Fork Bancorporation         ,3.35,2.58
Union Planters                    ,4.85,2.59
Bank of New York                  ,3.34,1.24
Household International           ,3.58,3.22
Charles Schwab                    ,0.56,0.52
American International Group      ,0.38,2.1
Loews                             ,1.37,4.65
Simon Property Group              ,6.93,1.93
Stryker                           ,0.18,1.7
Baxter International              ,2.05,1.67
Eli Lilly                         ,2.37,2.5
Bristol-Myers Squibb              ,4.81,0.12
General Electric                  ,3.16,1.51
Rockwell Collins                  ,1.83,1.29
Cummins                           ,5.01,1.82
First Data                        ,0.23,1.62
Deluxe                            ,3.67,3.36
Union Pacific                     ,1.67,5.05
Autodesk                          ,0.83,0.28
Scientific-Atlanta                ,0.31,0.35
International Flavors & Fragrances,1.91,1.84
Eastman Chemical                  ,5.47,1.02
Alltel                            ,3.22,2.96
Dominion Resources                ,4.79,4.82
Cinergy                           ,5.71,2.34
Peoples Energy                    ,5.92,2.51
Nicor                             ,6.12,2.94
