chest_diam,chest_depth,ankle_diam,waist_girth,wrist_girth,wrist_diam,age,weight,height,gender
27.3,22.8,15.5,84.7,17.1,10.8,56,70.9,175.3,1
28.7,19,14.9,80.3,17.9,11.3,21,75,182.9,1
31.7,19.4,14.4,98.6,15.9,10.7,18,93.2,170.8,1
32,22.8,15.6,90,17.2,11.2,21,93.2,188,1
30.6,21.6,13.8,86.6,17.1,11,45,77.7,180.3,1
27.8,19.7,14.6,80.2,16.2,10.5,22,61.4,177.8,1
30.2,26.4,15.8,109.2,17.4,11.6,55,94.1,185.4,1
30.6,21.1,14.2,88.4,17,11.4,42,75,168.9,1
31.3,19.9,14.3,81,16.6,11.2,29,83.6,185.4,1
29.4,21.1,16.4,88.8,17.5,12,40,85.5,180.3,1
30.4,20.9,13.8,78.1,17.2,11.4,24,73.9,174,1
29.2,18.2,14.2,81.5,16.7,10.6,62,66.8,167.6,1
29.7,22.3,15.3,87.6,17.9,11.8,26,87.3,182.9,1
30.2,19.7,12.7,92.5,17.5,11,35,72.3,160,1
32.9,21.4,15,97,17,11.7,37,88.6,180.3,1
31.1,20.2,15.2,82,17.5,11.8,34,75.5,167.6,1
34.7,23.5,15.8,99.5,17.1,11.8,25,101.4,186.7,1
34,19.9,14.4,93.8,17,11,30,91.1,175.3,1
29.9,18,13.2,79.1,17.9,10.1,32,67.3,175.3,1
28.3,19.9,14.3,85.8,17.8,12.8,27,77.7,175.9,1
32.4,21.4,15,90.8,16.7,11,42,81.8,175.3,1
29.9,20.6,13.8,85.4,16.6,11.2,44,75.5,179.1,1
29.2,20.6,16.9,91.6,18.1,11.5,46,84.5,181.6,1
30.6,20.2,14.3,79.7,17.7,10.8,19,76.6,177.8,1
31.1,20.6,15.1,86.1,17.4,12,43,85,182.9,1
33.5,24.2,15.5,113.2,17.1,12.8,28,102.5,177.8,1
32,20.6,14.5,79.5,15.8,11.2,39,77.3,184.2,1
29,18.7,14.6,85.4,17.1,11.4,30,71.8,179.1,1
29.4,25.2,13.8,97.9,17.5,11.5,36,87.9,176.5,1
31.5,25.2,15.1,94.7,18.9,11.8,48,94.3,188,1
28,20.6,14,86.1,16.4,10.3,48,70.9,174,1
27.8,17.7,14.6,84.9,15.1,11,53,64.5,167.6,1
30.8,21.6,14.6,92.2,16.7,11.7,45,77.3,170.2,1
29.9,19.7,15.1,83.7,16.6,11.5,39,72.3,167.6,1
29.7,21.6,15.2,97.8,17,12.2,43,87.3,188,1
28.5,23.7,14.3,98.6,18.1,12,65,80,174,1
30.8,23.7,14.5,89.5,17.1,11.2,45,82.3,176.5,1
29.9,19.9,14.8,82.9,16.3,11.2,37,73.6,180.3,1
31.1,24,15.8,90.1,17.8,11.8,55,74.1,167.6,1
30.2,21.8,15.8,78.9,19.6,12.4,33,85.9,188,1
29,21.1,14.8,80.7,17.3,10.6,25,73.2,180.3,1
27.8,21.6,14.8,94.3,17.3,11.3,35,76.3,167.6,1
28.3,20.2,15.3,70.2,18.4,10.2,28,65.9,183,1
32.9,22.1,16.8,83.6,19.4,12,26,90.9,183,1
31.1,23.7,16.1,91.9,18.9,11.3,43,89.1,179.1,1
29,19.7,14.8,71.8,18.3,11.5,30,62.3,170.2,1
30.2,20.6,15.8,85,17.3,11.5,26,82.7,177.8,1
29.7,21.8,13.6,85.7,16.3,11.8,51,79.1,179.1,1
32,25.4,16.8,96.5,16.7,10.7,30,98.2,190.5,1
29.9,26.4,15.9,82.4,18.1,11.5,24,84.1,177.8,1
31.5,21.4,14.8,86.3,18.4,11.1,35,83.2,180.3,1
29.4,19.7,15.3,83.2,17,10.5,37,83.2,180.3,1
24.9,16.2,12.3,66.5,13.5,9.2,21.8,51.6,161.2,0
24.5,16.8,12.8,61.5,15,9.9,19.8,59,167.5,0
24.2,16.4,12.2,61.2,14,8.9,18.5,49.2,159.5,0
24.9,19.3,13,78,15,9.5,25,63,157,0
26.2,18.2,12.4,70.5,14.5,9.1,21,53.6,155.8,0
25.7,15.1,13.2,66.5,14.5,10,22.5,59,170,0
24.5,15.4,12,58,13.9,9.4,25.5,47.6,159.1,0
26.6,18.8,13.8,74.5,16.8,10.7,21.7,69.8,166,0
25,18.6,12.7,73.5,15.2,9.8,28,66.8,176.2,0
29.4,19.7,13.2,90.5,16.3,11.5,40,75.2,160.2,0
24.3,15.5,11.9,66.5,13.8,8.6,32,55.2,172.5,0
25.5,15.4,13.2,61,15.3,9.7,24.5,54.2,170.9,0
27.3,17.3,12.4,69.5,14.4,9.2,25,62.5,172.9,0
22.6,16.9,11.6,62,13.2,8.3,29,42,153.4,0
23.7,18.3,12.2,63.4,13.8,8.6,22,50,160,0
25.7,16.2,11.8,71,14,9,24.5,49.8,147.2,0
23.9,14.6,12.6,59,14.5,9.6,22.5,49.2,168.2,0
26.7,19.6,13.6,74,17,11,36.5,73.2,175,0
22.6,15.3,11.6,60.5,13.2,8.1,19,47.8,157,0
28.8,19.1,13.2,75,15.9,10.5,22.6,68.8,167.6,0
24,15.4,12.3,65,13.8,9.4,24.5,50.6,159.5,0
28.7,21.3,14.4,82.2,16.6,10.6,26,82.5,175,0
26.8,15.1,12.3,70.2,14.5,8.9,24,57.2,166.8,0
30.4,19.9,14.2,85,17.6,11,29,87.8,176.5,0
27.5,19.6,13.1,75,16,10.2,21.5,72.8,170.2,0
25,15.8,12.9,63,15.2,10.2,30,54.5,174,0
25.6,17.2,12.7,70,15,10,22.7,59.8,173,0
27.2,18,13.8,72.6,15.6,10.1,38,67.3,179.9,0
27.5,17.4,13.1,78.7,15.6,10.4,23,67.8,170.5,0
22.3,16.1,12.3,61,14.5,9.5,18.5,47,160,0
23.5,18.6,12.3,64.2,14,8.9,45.5,46.2,154.4,0
23.9,15.6,12.7,63.1,14.9,9.6,20,55,162,0
29.5,20.1,13.6,85,15.9,10,21.8,83,176.5,0
26,14.3,12.7,66,14.4,9.9,25,54.4,160,0
22.9,16,11.8,65,14,9.2,20.5,45.8,152,0
27.5,16.7,12.4,63.2,15.6,10.1,23.3,53.6,162.1,0
24.9,19,13.1,83.6,16.1,10.4,30.8,73.2,170,0
26,15,12.1,68,14.6,9.4,29,52.1,160.2,0
25.9,17.3,13.8,75.7,15.3,9.8,19,67.9,161.3,0
24.9,17.3,14,65.5,15.2,10.4,21,56.6,166.4,0
25.6,18,13.6,66.9,15.1,9.4,23,62.3,168.9,0
25.2,19,13.6,67.9,15.2,11.5,24,58.5,163.8,0
24.2,15.6,13.2,67.8,14.3,9.2,20,54.5,167.6,0
23.3,17.3,12.9,63.2,15,9.8,19,50.2,160,0
24.2,16,12.6,73.1,15.1,9.2,20,60.3,161.3,0
25.9,14.8,13,65.3,15.7,10.4,19,58.3,167.6,0
24.2,16.5,13.2,65.6,14.7,9.2,20,56.2,165.1,0
24,17,12.4,62.7,13.8,9.2,19,50.2,160,0
27.1,19.2,14.4,81.8,15.3,10.5,22,72.9,170,0
24.9,19,13.8,72.1,14.3,9.8,39,59.8,157.5,0
25.6,16.3,14.3,68.6,15.5,11,18,61,167.6,0
25.4,18.7,13,80,14.6,8.9,19,69.1,160.7,0
24.2,19,13.4,64.9,15.5,10.6,26,55.9,163.2,0
24.4,16.5,12.4,61.7,14.6,9.2,20,46.5,152.4,0
24.2,16.5,12.6,64,14.6,9.8,20,54.3,157.5,0
26.6,15.1,13.8,58.6,14.4,10,26,54.8,168.3,0
